,cell_type
gdkkagan-1,Unknown
gdkkebhh-1,Macrophages
gdkkpljp-1,Epithelial
gdklaaea-1,Macrophages
gdklbboo-1,Macrophages
gdkleiac-1,Macrophages
gdklhkbi-1,Macrophages
gdklnhbb-1,Unknown
gdklpjjn-1,Macrophages
gdkmdoee-1,Macrophages
gdkmedig-1,Unknown
gdkmgimp-1,Unknown
gdkmiogn-1,Unknown
gdkmjipk-1,Macrophages
gdkmncmj-1,CD8+ T cells
gdkmolhl-1,Epithelial
gdkmonbn-1,Macrophages
gdkmooen-1,Unknown
gdknahin-1,Unknown
gdkncijj-1,Epithelial
gdknfcal-1,CD8+ T cells
gdkngdif-1,Epithelial
gdknijgk-1,Epithelial
gdknkimj-1,Epithelial
gdknlofp-1,Macrophages
gdknndge-1,Unknown
gdkoabaf-1,Macrophages
gdkodjli-1,Epithelial
gdkohdml-1,Epithelial
gdkoongl-1,Unknown
gdkpbigc-1,Macrophages
gdkpcmjm-1,Macrophages
gdkpgfbl-1,CD8+ T cells
gdkpgmee-1,Macrophages
gdkpjgeo-1,Macrophages
gdkpkpme-1,Unknown
gdkpllpg-1,CD8+ T cells
gdkpobjl-1,Macrophages
gdlaacpk-1,Macrophages
gdlackip-1,CD8+ T cells
gdladjga-1,Unknown
gdladncj-1,Macrophages
gdlafmmc-1,Macrophages
gdlagbjg-1,Macrophages
gdlahiie-1,Macrophages
gdlahode-1,Unknown
gdlajkcb-1,Macrophages
gdlaneij-1,Unknown
gdlaohfm-1,Macrophages
gdlbdhbf-1,Macrophages
gdlbhkjn-1,Macrophages
gdlbibhc-1,Macrophages
gdlbmpof-1,Macrophages
gdlcbhop-1,CD8+ T cells
gdlcccpc-1,Macrophages
gdlcdgfa-1,Macrophages
gdlcfdgg-1,Macrophages
gdlcfhgk-1,Macrophages
gdlcglmm-1,Macrophages
gdlchpfn-1,Macrophages
gdlcinfc-1,Macrophages
gdlcnmbf-1,Macrophages
gdlcooic-1,Macrophages
gdldaljj-1,Macrophages
gdldbnng-1,Epithelial
gdldcabg-1,Unknown
gdldcmea-1,Macrophages
gdlddahf-1,Macrophages
gdlddmef-1,Epithelial
gdldgpaa-1,Macrophages
gdldhdak-1,Epithelial
gdleadbj-1,Unknown
gdlebaec-1,Epithelial
gdlebcci-1,Macrophages
gdlecigl-1,Macrophages
gdledhmb-1,Unknown
gdledmcn-1,Epithelial
gdledpoj-1,Epithelial
gdlehofo-1,Macrophages
gdleiach-1,Macrophages
gdlekkjg-1,Macrophages
gdlepmha-1,Macrophages
gdlfbkgp-1,Macrophages
gdlfblpg-1,Unknown
gdlfhbjl-1,Macrophages
gdlfhdhd-1,Epithelial
gdlfiiml-1,Fibroblasts
gdlfjgoi-1,Unknown
gdlflpib-1,Epithelial
gdlfmcpj-1,Unknown
gdlfmemd-1,Unknown
gdlfppel-1,Unknown
gdlganlh-1,Unknown
gdlgcbhj-1,Fibroblasts
gdlgelem-1,Fibroblasts
gdlghioc-1,Endothelial
gdlgibod-1,Unknown
gdlgihbe-1,Endothelial
gdlgjbnj-1,Unknown
gdlgmgan-1,Unknown
gdlgpann-1,Unknown
gdlgpooo-1,Unknown
gdlhbeej-1,Fibroblasts
gdlhcdjp-1,Unknown
gdlhefij-1,Unknown
gdlhgamo-1,Unknown
gdlhhphb-1,Macrophages
gdlhlbka-1,Unknown
gdliafij-1,Unknown
gdlicjih-1,CD4+ T cells
gdlicjip-1,Unknown
gdlieolf-1,Endothelial
gdlifpfn-1,Unknown
gdliiglf-1,Fibroblasts
gdlimbel-1,Fibroblasts
gdlioakb-1,Unknown
gdliphdk-1,Unknown
gdljenjp-1,Fibroblasts
gdljhbcp-1,Unknown
gdljjano-1,Endothelial
gdljklon-1,Unknown
gdljkmlm-1,Endothelial
gdljmlcg-1,Endothelial
gdljnncg-1,Fibroblasts
gdljpena-1,Fibroblasts
gdljphll-1,Endothelial
gdljpogo-1,Endothelial
gdlkbljm-1,Endothelial
gdlkcmoi-1,Endothelial
gdlkfdik-1,Endothelial
gdlkgkdj-1,Endothelial
gdlkgpjf-1,Fibroblasts
gdlkhejp-1,Endothelial
gdlkhood-1,Endothelial
gdlkjmeh-1,Fibroblasts
gdlkkgcd-1,Epithelial
gdlkkgpk-1,Macrophages
gdllbkmd-1,Epithelial
gdllccmf-1,CD8+ T cells
gdllecfc-1,Macrophages
gdlleflm-1,Epithelial
gdllfihe-1,CD8+ T cells
gdllhocm-1,Macrophages
gdlllckl-1,Epithelial
gdlllfcm-1,Macrophages
gdllmnan-1,Macrophages
gdlmcege-1,Macrophages
gdlmlegn-1,Epithelial
gdlmmgnl-1,Unknown
gdlmmlam-1,Macrophages
gdlndcjn-1,Epithelial
gdlnmkni-1,Epithelial
gdlnpdig-1,Epithelial
gdlodmnp-1,Epithelial
gdlojcip-1,Macrophages
gdlooigf-1,Epithelial
gdlopkkk-1,Unknown
gdlpddpi-1,Macrophages
gdlpjnhm-1,Macrophages
gdlpmboi-1,Macrophages
gdlpnhdf-1,Macrophages
gdlpolck-1,Fibroblasts
gdmabdlg-1,Unknown
gdmabmah-1,Fibroblasts
gdmacnej-1,Unknown
gdmacook-1,Fibroblasts
gdmahlmb-1,Fibroblasts
gdmahnem-1,Unknown
gdmaicjm-1,Unknown
gdmajkgb-1,Unknown
gdmakgpg-1,Fibroblasts
gdmalbnf-1,Fibroblasts
gdmamceo-1,Macrophages
gdmamcfl-1,Unknown
gdmanjgf-1,Macrophages
gdmapgkg-1,Macrophages
gdmbfkbd-1,Macrophages
gdmbiibd-1,Macrophages
gdmblapd-1,Macrophages
gdmblknh-1,Macrophages
gdmbmilj-1,Unknown
gdmcaogf-1,Endothelial
gdmcbbfo-1,Macrophages
gdmcbkca-1,Unknown
gdmcfjdg-1,CD8+ T cells
gdmcjdbo-1,Unknown
gdmcjeda-1,Fibroblasts
gdmcokle-1,CD8+ T cells
gdmcpone-1,Unknown
gdmddgjb-1,Fibroblasts
gdmdgbej-1,Unknown
gdmdigha-1,Unknown
gdmdkdce-1,Unknown
gdmdkdio-1,Unknown
gdmdngle-1,Unknown
gdmeapfn-1,Unknown
gdmedikg-1,Unknown
gdmednlc-1,Unknown
gdmeeflc-1,Fibroblasts
gdmefgkh-1,Fibroblasts
gdmehelh-1,Unknown
gdmehlce-1,Unknown
gdmelnac-1,Unknown
gdmempep-1,Fibroblasts
gdmepnno-1,Fibroblasts
gdmfdnlj-1,Fibroblasts
gdmfebac-1,Endothelial
gdmfiegf-1,Endothelial
gdmfnlcg-1,Endothelial
gdmfpbnn-1,Fibroblasts
gdmfpcdb-1,Fibroblasts
gdmghmcm-1,Fibroblasts
gdmghnpl-1,Fibroblasts
gdmgildp-1,Fibroblasts
gdmgjoie-1,Fibroblasts
gdmgkagp-1,Fibroblasts
gdmgkepf-1,Endothelial
gdmgkmma-1,Endothelial
gdmgmndn-1,CD4+ T cells
gdmgpcop-1,Macrophages
gdmhbfmo-1,B cells
gdmheanc-1,Macrophages
gdmhhpdg-1,Macrophages
gdmhihkl-1,Macrophages
gdmhiign-1,Epithelial
gdmhpiel-1,Macrophages
gdmidfmn-1,Epithelial
gdmidjfh-1,Endothelial
gdmihdlf-1,Unknown
gdmikcai-1,Endothelial
gdmimbmo-1,Macrophages
gdmjahfb-1,Epithelial
gdmjcppp-1,Fibroblasts
gdmjghnb-1,Fibroblasts
gdmjgjgo-1,Unknown
gdmjgnpb-1,Endothelial
gdmjigio-1,Endothelial
gdmjjmhc-1,Endothelial
gdmjlgpk-1,Endothelial
gdmjnndd-1,Endothelial
gdmjpokc-1,Unknown
gdmkbokc-1,Unknown
gdmkddbi-1,Unknown
gdmkjolh-1,Fibroblasts
gdmkljfa-1,Unknown
gdmkmaln-1,Fibroblasts
gdmkmdag-1,Unknown
gdmkpbbk-1,Endothelial
gdmkpbgd-1,Fibroblasts
gdmlamda-1,Macrophages
gdmlclen-1,Unknown
gdmldaco-1,Unknown
gdmldhhp-1,Fibroblasts
gdmleaoa-1,Macrophages
gdmlhkgl-1,Unknown
gdmlhoph-1,Endothelial
gdmliieo-1,Unknown
gdmlimdj-1,Endothelial
gdmlmekp-1,Endothelial
gdmlmppj-1,Endothelial
gdmlohcp-1,Unknown
gdmmbahj-1,Unknown
gdmmcpnd-1,Unknown
gdmmgmlf-1,Endothelial
gdmmgong-1,Unknown
gdmmhfld-1,Endothelial
gdmmhggo-1,Fibroblasts
gdmmkffl-1,Macrophages
gdmmpahl-1,Macrophages
gdmmpffo-1,Macrophages
gdmmpfil-1,Unknown
gdmngnei-1,Unknown
gdmnhkbi-1,Fibroblasts
gdmnhool-1,Unknown
gdmnialf-1,Unknown
gdmniimh-1,Fibroblasts
gdmniklk-1,Unknown
gdmnkeao-1,Unknown
gdmnmchk-1,Fibroblasts
gdmnnalb-1,Fibroblasts
gdmnnpjf-1,Unknown
gdmnooib-1,Unknown
gdmoajhc-1,Macrophages
gdmoccgi-1,Unknown
gdmodnla-1,Fibroblasts
gdmoglmc-1,Fibroblasts
gdmohaje-1,Endothelial
gdmohfff-1,Endothelial
gdmohkhf-1,Endothelial
gdmoimea-1,Macrophages
gdmokkif-1,Unknown
gdmomalm-1,Unknown
gdmomfcj-1,Unknown
gdmomnem-1,Unknown
gdmpcgjp-1,Endothelial
gdmpekfa-1,Endothelial
gdmpgdmp-1,Unknown
gdmphfmo-1,Endothelial
gdmpikih-1,Macrophages
gdmpkmpn-1,Macrophages
gdmpnjna-1,Unknown
gdnaampe-1,Fibroblasts
gdnadgdd-1,Unknown
gdnafeld-1,Unknown
gdnaffgd-1,Endothelial
gdnajbfh-1,Unknown
gdnajlbj-1,Endothelial
gdnalgjg-1,Unknown
gdnalmii-1,Macrophages
gdnamban-1,Unknown
gdnbacdj-1,Macrophages
gdnbbpgd-1,Macrophages
gdnbdagn-1,Unknown
gdnbfngi-1,Unknown
gdnbhikb-1,Macrophages
gdnbhipm-1,Unknown
gdnbhjcb-1,Unknown
gdnbhppd-1,Unknown
gdnblphg-1,Epithelial
gdnbmhfa-1,CD8+ T cells
gdnbnlho-1,Unknown
gdnbpnkg-1,Unknown
gdncaeho-1,Unknown
gdncdibc-1,Endothelial
gdncdkca-1,Endothelial
gdnchjoe-1,Macrophages
gdnchlpp-1,CD8+ T cells
gdncjdgj-1,Epithelial
gdnclocn-1,Unknown
gdncpfpl-1,Macrophages
gdndamfo-1,Macrophages
gdndcbhi-1,Macrophages
gdndcmkf-1,Unknown
gdndenco-1,Unknown
gdndiaha-1,Macrophages
gdndlflp-1,Epithelial
gdndmbpj-1,Epithelial
gdndoeea-1,Macrophages
gdndokpe-1,Unknown
gdneaiio-1,Epithelial
gdnealoe-1,Unknown
gdnebamh-1,Macrophages
gdnebknm-1,Epithelial
gdneepbc-1,Unknown
gdnefpbo-1,Unknown
gdneimdg-1,Macrophages
gdnejfpf-1,Unknown
gdnfbpjc-1,Endothelial
gdnfcabj-1,Unknown
gdnfcncg-1,Unknown
gdnfdfni-1,Unknown
gdnfecdk-1,Epithelial
gdnfgbij-1,Macrophages
gdnfhein-1,Unknown
gdnfjiao-1,Endothelial
gdnfjocb-1,Unknown
gdnfjomo-1,Epithelial
gdngdpjj-1,Macrophages
gdngehog-1,Macrophages
gdngenlp-1,Epithelial
gdngfpke-1,Unknown
gdnghcma-1,Unknown
gdnglabl-1,Unknown
gdnhamec-1,Unknown
gdnhanko-1,Unknown
gdnhdomh-1,Unknown
gdnhfkhk-1,Endothelial
gdnhfldp-1,Endothelial
gdnhhokb-1,Unknown
gdnhjenf-1,Unknown
gdnhklbl-1,Epithelial
gdnhmgpd-1,Unknown
gdniadlh-1,Epithelial
gdnicmcn-1,Unknown
gdnidbfa-1,Unknown
gdnifiom-1,Epithelial
gdnihigd-1,Macrophages
gdnijhal-1,Epithelial
gdniokho-1,CD8+ T cells
gdniooik-1,Epithelial
gdnjfhji-1,Macrophages
gdnjgdbh-1,Macrophages
gdnjgdom-1,Unknown
gdnjgkki-1,Unknown
gdnjgnnb-1,Unknown
gdnjhoek-1,Macrophages
gdnjjkhg-1,Macrophages
gdnkaiji-1,Macrophages
gdnkdjmc-1,Macrophages
gdnkeeea-1,Unknown
gdnkjfin-1,Endothelial
gdnkkhhd-1,Endothelial
gdnklljp-1,Endothelial
gdnknebd-1,Endothelial
gdnlaakp-1,Macrophages
gdnlfdii-1,Macrophages
gdnlgdde-1,Unknown
gdnlhakk-1,Macrophages
gdnlkfbb-1,Macrophages
gdnlmbdo-1,Endothelial
gdnlmngh-1,Macrophages
gdnlonkp-1,Epithelial
gdnmgkpg-1,Endothelial
gdnmgoig-1,Macrophages
gdnminpl-1,Endothelial
gdnmjaai-1,Endothelial
gdnmjbmk-1,Macrophages
gdnmlpob-1,Macrophages
gdnmmebh-1,Unknown
gdnmnnid-1,Unknown
gdnmolpk-1,Endothelial
gdnmpjmj-1,Endothelial
gdnnaikd-1,Endothelial
gdnncnam-1,Unknown
gdnndlmf-1,Macrophages
gdnndplj-1,Unknown
gdnneipd-1,Macrophages
gdnngkne-1,Endothelial
gdnnjbkp-1,Unknown
gdnnjnbo-1,Macrophages
gdnnkfja-1,Unknown
gdnnnonp-1,CD4+ T cells
gdnnojlg-1,Unknown
gdnnomeg-1,Macrophages
gdnnppng-1,Macrophages
gdnocpjm-1,Macrophages
gdnokmcj-1,Macrophages
gdnomndk-1,Epithelial
gdnooglf-1,Endothelial
gdnopjgh-1,Macrophages
gdnoppia-1,Unknown
gdnpbcbl-1,Unknown
gdnphlcl-1,Macrophages
gdnphnbn-1,Endothelial
gdnpkodg-1,Unknown
gdnplajj-1,Macrophages
gdnplala-1,Endothelial
gdnplflk-1,Unknown
gdnpmpfo-1,Macrophages
gdnpnfao-1,Macrophages
gdnppeio-1,Macrophages
gdnppfni-1,Macrophages
gdoaamok-1,Unknown
gdoadkkn-1,Epithelial
gdoafaoi-1,Unknown
gdoagbhb-1,CD8+ T cells
gdoahknh-1,Endothelial
gdoahlpd-1,Macrophages
gdoaiehk-1,Macrophages
gdoaihhc-1,Macrophages
gdobbaca-1,Unknown
gdobcoha-1,CD4+ T cells
gdobggie-1,B cells
gdocapfn-1,Epithelial
gdocdade-1,Endothelial
gdodabnk-1,Macrophages
gdodaiea-1,Endothelial
gdodiikh-1,Epithelial
gdodkbop-1,Macrophages
gdodlbgg-1,Endothelial
gdodllfp-1,Macrophages
gdodnphi-1,CD4+ T cells
gdodogjo-1,Macrophages
gdoeaepj-1,Macrophages
gdoeahha-1,Macrophages
gdoeaigi-1,Macrophages
gdoednng-1,Epithelial
gdoeeoae-1,Macrophages
gdoefjfe-1,Unknown
gdoehcob-1,Macrophages
gdoeiinj-1,Macrophages
gdoeinig-1,Macrophages
gdoekmkk-1,Unknown
gdoelmka-1,Macrophages
gdoepdog-1,Macrophages
gdofdhjp-1,Unknown
gdofikhc-1,Unknown
gdofjjah-1,Macrophages
gdofkkpn-1,Macrophages
gdogabek-1,Macrophages
gdogclhe-1,Macrophages
gdogkhdj-1,Unknown
gdogmcce-1,Macrophages
gdohbbpf-1,Macrophages
gdohcddb-1,Unknown
gdohglee-1,Macrophages
gdohhdjd-1,Unknown
gdohhjij-1,Unknown
gdohhlbh-1,Unknown
gdohlenf-1,Macrophages
gdohmgnk-1,Macrophages
gdohoilm-1,Unknown
gdohomdh-1,Macrophages
gdohpefd-1,Endothelial
gdohpkae-1,Epithelial
gdoiajad-1,Endothelial
gdoicbij-1,Unknown
gdoidkhc-1,Macrophages
gdoidmio-1,CD8+ T cells
gdoiejmg-1,Unknown
gdoiheei-1,Macrophages
gdoiiiao-1,Epithelial
gdoikjlm-1,Unknown
gdoimini-1,Unknown
gdoindpl-1,Endothelial
gdoioelj-1,Unknown
gdoipldb-1,Endothelial
gdojaadj-1,Unknown
gdojbgnc-1,Unknown
gdojelpo-1,Fibroblasts
gdojfapc-1,Unknown
gdojfplp-1,Endothelial
gdojghej-1,Epithelial
gdojjofn-1,Epithelial
gdojlkeg-1,Fibroblasts
gdojmfbf-1,Endothelial
gdojponc-1,Endothelial
gdokbcbh-1,Unknown
gdokfnfj-1,Macrophages
gdokijpd-1,Unknown
gdokogdf-1,Unknown
gdolikgo-1,Unknown
gdoljbmn-1,Endothelial
gdolkbom-1,Macrophages
gdolkimm-1,Unknown
gdolknkf-1,Endothelial
gdolligg-1,Unknown
gdolpbco-1,Endothelial
gdomafih-1,Endothelial
gdomebam-1,Endothelial
gdomeoci-1,Unknown
gdomhaoc-1,Macrophages
gdomkhlk-1,Macrophages
gdomknea-1,Endothelial
gdomkoci-1,Epithelial
gdommceh-1,Fibroblasts
gdomohfe-1,Macrophages
gdonbdka-1,Macrophages
gdongejp-1,Macrophages
gdonhafj-1,Epithelial
gdonhbhk-1,Epithelial
gdonkahd-1,Macrophages
gdonohmb-1,Macrophages
gdooaici-1,Macrophages
gdoognkf-1,Epithelial
gdooiiph-1,Macrophages
gdoolbmc-1,Macrophages
gdooniml-1,Unknown
gdoooimj-1,Epithelial
gdopahba-1,Unknown
gdopbifh-1,Unknown
gdopfnda-1,Macrophages
gdopfndo-1,Epithelial
gdopgbid-1,Unknown
gdopgkin-1,Unknown
gdophgdi-1,Macrophages
gdopijmc-1,Macrophages
gdopilpe-1,Unknown
gdopjjdb-1,Epithelial
gdopkipi-1,Epithelial
gdopnnem-1,Endothelial
gdpacdgj-1,Macrophages
gdpadhgl-1,Macrophages
gdpagpnl-1,Unknown
gdpahkge-1,Endothelial
gdpamooe-1,Unknown
gdpanpff-1,Unknown
gdpapegl-1,Macrophages
gdpbacgc-1,Endothelial
gdpbcgah-1,Unknown
gdpbdneo-1,Epithelial
gdpbgeie-1,Macrophages
gdpbincl-1,Macrophages
gdpbnpme-1,Unknown
gdpbobmf-1,Endothelial
gdpbpmph-1,Unknown
gdpcaade-1,Macrophages
gdpcahki-1,Endothelial
gdpcbhei-1,Macrophages
gdpccklj-1,CD8+ T cells
gdpccljl-1,Epithelial
gdpccpdp-1,Unknown
gdpcfgic-1,Epithelial
gdpchnjc-1,Unknown
gdpcifem-1,Epithelial
gdpcjapk-1,Macrophages
gdpcmahm-1,Epithelial
gdpcomfc-1,Epithelial
gdpdajfo-1,Unknown
gdpdcdaa-1,Epithelial
gdpddeob-1,Unknown
gdpdhpga-1,Unknown
gdpdipip-1,Epithelial
gdpdjcid-1,Macrophages
gdpedelp-1,Epithelial
gdpeekbg-1,Endothelial
gdpeepfa-1,Unknown
gdpehael-1,Macrophages
gdpeiedo-1,Unknown
gdpejidn-1,Unknown
gdpekngf-1,Fibroblasts
gdpfamea-1,Fibroblasts
gdpffpeo-1,Epithelial
gdpfgjfn-1,Endothelial
gdpfjeme-1,Macrophages
gdpfpfgc-1,Epithelial
gdpgabpn-1,Fibroblasts
gdpgfiag-1,Endothelial
gdpgfnhh-1,Endothelial
gdpghdki-1,Endothelial
gdpgipho-1,Epithelial
gdpgjgkm-1,Epithelial
gdpgllef-1,Macrophages
gdpgpdjl-1,Unknown
gdphaghi-1,Endothelial
gdphanjb-1,Unknown
gdphggcf-1,Endothelial
gdphinbb-1,CD8+ T cells
gdphljmn-1,Macrophages
gdpibjhb-1,Unknown
gdpiekkb-1,Fibroblasts
gdpifmjn-1,Unknown
gdpigefl-1,Epithelial
gdpiicnl-1,Endothelial
gdpijdce-1,Macrophages
gdpilakl-1,Macrophages
gdpimohc-1,Macrophages
gdpinena-1,Unknown
gdpiofhd-1,Macrophages
gdpipacj-1,Macrophages
gdpiphbg-1,Macrophages
gdpjaopd-1,Fibroblasts
gdpjgjjm-1,Macrophages
gdpjibkm-1,Macrophages
gdpjkjae-1,Macrophages
gdpjmeio-1,Unknown
gdpjoahm-1,Macrophages
gdpkaklj-1,Macrophages
gdpkdgbl-1,Unknown
gdpkhhhg-1,Macrophages
gdpkmmgk-1,Epithelial
gdpknnbd-1,Endothelial
gdplcmod-1,Endothelial
gdpldipn-1,Macrophages
gdplekgp-1,Unknown
gdplfbep-1,Unknown
gdplgonf-1,Macrophages
gdplhhgp-1,Unknown
gdplicfb-1,Unknown
gdplijde-1,Unknown
gdplknba-1,Unknown
gdplkpkb-1,Unknown
gdpllchk-1,Unknown
gdplmiea-1,Epithelial
gdplpdik-1,Epithelial
gdplpkdf-1,Macrophages
gdpmacih-1,Unknown
gdpmbddc-1,Macrophages
gdpmeonm-1,Unknown
gdpmgnoi-1,CD8+ T cells
gdpmkbdn-1,Unknown
gdpmknij-1,Endothelial
gdpmpeda-1,Endothelial
gdpnacgn-1,Unknown
gdpnaofj-1,Endothelial
gdpnbapg-1,Macrophages
gdpnbhkh-1,Unknown
gdpneicl-1,Endothelial
gdpngfnb-1,Unknown
gdpngpop-1,Epithelial
gdpnhahh-1,Unknown
gdpnidll-1,Epithelial
gdpnkiki-1,Macrophages
gdpnlipf-1,Unknown
gdpnmmmg-1,Macrophages
gdpnoebl-1,Macrophages
gdpnomlh-1,Unknown
gdpnpfkd-1,Macrophages
gdpoamhg-1,Unknown
gdpobanl-1,Endothelial
gdpodohf-1,Macrophages
gdpoeehf-1,Epithelial
gdpoelbp-1,Epithelial
gdpojbmb-1,Epithelial
gdpojbnf-1,CD8+ T cells
gdpoknbg-1,Unknown
gdpopdee-1,Macrophages
gdppconf-1,Unknown
gdppdcma-1,Epithelial
gdppdkmg-1,Endothelial
gdppedck-1,Macrophages
gdppldnn-1,Macrophages
gdppmhjm-1,Unknown
geaacjeo-1,Endothelial
geaaekoa-1,Macrophages
geaaggce-1,Unknown
geaahlmn-1,Endothelial
geaaildc-1,Unknown
geaakdmp-1,Endothelial
geaalldj-1,Endothelial
geaamdfh-1,Macrophages
geabaafk-1,Epithelial
geabbena-1,Epithelial
geabblbm-1,Epithelial
geabcjfc-1,Epithelial
geabdfga-1,Endothelial
geabfgog-1,Unknown
geabgefe-1,Endothelial
geablbip-1,Macrophages
geabonci-1,Endothelial
geacangl-1,Epithelial
geaccige-1,Unknown
geacekil-1,Endothelial
geacjdbi-1,Epithelial
geacjjbf-1,Epithelial
geaclaoh-1,Macrophages
geaclldg-1,Macrophages
geacllnc-1,Unknown
geaclpoe-1,Epithelial
geacmcmp-1,Unknown
geacnndd-1,Macrophages
geacodcj-1,Unknown
geadajle-1,Macrophages
geadampd-1,Macrophages
geadbbko-1,B cells
geadcbfe-1,Macrophages
geadcbom-1,Unknown
geadghan-1,Macrophages
geadidlb-1,Unknown
geadndnf-1,Epithelial
geadochm-1,Unknown
geadolck-1,Macrophages
geadpmhi-1,Unknown
geaebgdf-1,Epithelial
geaecchm-1,Unknown
geaedhad-1,Unknown
geaeejhi-1,Fibroblasts
geaehomk-1,Unknown
geaeliom-1,Epithelial
geaemalb-1,Unknown
geaeokmj-1,Unknown
geaeonmp-1,Unknown
geafadia-1,Epithelial
geafdmdb-1,Unknown
geafejig-1,Macrophages
geafnbca-1,Endothelial
geafpagh-1,Unknown
geafpgbe-1,Unknown
geagcpfd-1,Endothelial
geagdinc-1,Endothelial
geageinc-1,Macrophages
geaghhgm-1,Unknown
geagkbcj-1,Unknown
geagkmdi-1,Macrophages
geagmhnc-1,Endothelial
geagmkgm-1,Endothelial
geagnaom-1,CD8+ T cells
geagnead-1,Unknown
geagojld-1,Macrophages
geahaamm-1,Macrophages
geahackk-1,Endothelial
geahamil-1,Macrophages
geahbapf-1,Unknown
geahdipl-1,CD8+ T cells
geahfeob-1,Macrophages
geahhkil-1,Macrophages
geahhnbl-1,Endothelial
geahhnfc-1,Unknown
geahicba-1,Endothelial
geahkfon-1,Endothelial
geahkpae-1,Endothelial
geahmbhb-1,Macrophages
geahnfla-1,Unknown
geahoall-1,Macrophages
geahphce-1,Unknown
geaiejei-1,Macrophages
geaijnkf-1,Macrophages
geaikkjm-1,Unknown
geaikmgk-1,Unknown
geajacfc-1,Macrophages
geajcbcc-1,Macrophages
geajgppl-1,Macrophages
geajogbk-1,Macrophages
geajoibi-1,Macrophages
geajophd-1,Macrophages
geajppka-1,Endothelial
geakfaej-1,Unknown
geakfkll-1,Epithelial
geakghlm-1,Epithelial
geakimec-1,Macrophages
geakjkcp-1,B cells
geakmnlm-1,Macrophages
geakmode-1,Macrophages
gealakia-1,Macrophages
gealcldi-1,Macrophages
gealdmam-1,Macrophages
gealdpii-1,Macrophages
gealflkn-1,Macrophages
gealhbab-1,Macrophages
gealhjna-1,Unknown
gealihbo-1,Unknown
gealjfka-1,Epithelial
gealmcko-1,Macrophages
gealoldm-1,Fibroblasts
gealpfnd-1,Unknown
gealpkaa-1,Endothelial
gealpnim-1,Macrophages
geamdijb-1,Unknown
geamffcf-1,Macrophages
geamjkkc-1,Macrophages
geamjkpc-1,Macrophages
geamloml-1,Macrophages
geanfbjc-1,Unknown
geanfhmf-1,Epithelial
geanmbhc-1,Macrophages
geannfim-1,Epithelial
geanpcdi-1,Epithelial
geaobefg-1,Epithelial
geaocccn-1,Unknown
geaoeiac-1,Unknown
geaogpio-1,Epithelial
geaohfbn-1,Macrophages
geaohlfe-1,Unknown
geaohlhg-1,Macrophages
geaojhem-1,Epithelial
geaomaie-1,Unknown
geaomlkf-1,Epithelial
geaomoeg-1,Unknown
geaonmfh-1,Epithelial
geaoommf-1,Macrophages
geapcldd-1,Endothelial
geapgcme-1,Macrophages
geaplmgk-1,Macrophages
geapmejm-1,Macrophages
gebadlao-1,Epithelial
gebaejeb-1,Macrophages
gebaemhp-1,Unknown
gebafaok-1,Epithelial
gebamigb-1,Epithelial
gebbalia-1,Macrophages
gebbchic-1,Epithelial
gebbdihk-1,Epithelial
gebbdimb-1,Macrophages
gebbehjl-1,Macrophages
gebbekbf-1,Unknown
gebbfhae-1,Macrophages
gebbgodm-1,Unknown
gebbgpoi-1,Macrophages
gebbhhbj-1,Unknown
gebbimgc-1,Macrophages
gebbiogn-1,Macrophages
gebbjdpc-1,Macrophages
gebbknbm-1,Macrophages
gebbnadi-1,Macrophages
gebbofck-1,Macrophages
gebbphci-1,Macrophages
gebcbnlo-1,Endothelial
gebcdeam-1,Unknown
gebchiii-1,Endothelial
gebcllbe-1,Macrophages
gebcnfpk-1,Unknown
gebdabid-1,Unknown
gebdbofe-1,Unknown
gebdchhp-1,Unknown
gebdcmph-1,Unknown
gebdenbe-1,Unknown
gebdjhlm-1,Macrophages
gebdjiio-1,Unknown
gebdkkfk-1,CD8+ T cells
gebdkmfd-1,CD8+ T cells
gebeafml-1,CD8+ T cells
gebeajbp-1,Unknown
gebecnfl-1,Unknown
gebegbol-1,Unknown
gebeglmg-1,Unknown
gebejjbo-1,Unknown
gebfbhfk-1,Unknown
gebfbnig-1,Endothelial
gebfcpbh-1,Endothelial
gebfdill-1,Unknown
gebffkno-1,Unknown
gebfhabh-1,CD4+ T cells
gebfjjab-1,Macrophages
gebflcmf-1,Unknown
gebflpkn-1,Endothelial
gebgabnj-1,Macrophages
gebgbcbg-1,Fibroblasts
gebgbjbc-1,Unknown
gebgdefg-1,Unknown
gebgeccc-1,Unknown
gebgecio-1,Unknown
gebgehjm-1,Unknown
gebgekkg-1,Macrophages
gebghjbc-1,Unknown
gebghmln-1,Epithelial
gebgjhbj-1,Unknown
gebgnfdj-1,Macrophages
gebgombb-1,Macrophages
gebhbjai-1,Macrophages
gebhfflk-1,Macrophages
gebhgoel-1,Macrophages
gebhimem-1,Macrophages
gebhlnch-1,Epithelial
gebhmabn-1,B cells
gebhmaph-1,Macrophages
gebhmcge-1,Endothelial
gebhngmj-1,Macrophages
gebhofef-1,Unknown
gebhomkf-1,Macrophages
gebhopfb-1,Unknown
gebichhi-1,Unknown
gebidcia-1,Macrophages
gebidkla-1,B cells
gebienei-1,Macrophages
gebifapp-1,Macrophages
gebifjii-1,Unknown
gebihipi-1,Endothelial
gebiifec-1,Unknown
gebiikoa-1,Endothelial
gebijcno-1,Unknown
